text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,123,36,1130,100,181,112,0.099,90,0,0.6348,0.4151,0.1238,0.1698,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3419,0.0348,0.1368,0.2011,0.0745,0.1164
1,123,37,1130,100,181,112,0.099,90,0,0.6348,0.4151,0.1238,0.1698,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3419,0.0348,0.1368,0.2011,0.0745,0.1164
1,123,38,1130,100,181,112,0.099,90,0,0.6348,0.4151,0.1238,0.1698,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3419,0.0348,0.1368,0.2011,0.0745,0.1164
1,123,39,1130,100,211,120,0.106,108,0,0.6332,0.4,0.0826,0.1909,0.0928,0.037,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.314,0.0168,0.1653,0.2011,0.0745,0.1164
1,123,40,1130,100,211,120,0.106,108,0,0.6332,0.4,0.0826,0.1909,0.0928,0.037,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.314,0.0168,0.1653,0.2011,0.0745,0.1164
1,123,41,1130,100,211,120,0.106,108,0,0.6332,0.4,0.0826,0.1909,0.0928,0.037,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.314,0.0168,0.1653,0.2011,0.0745,0.1164
1,123,42,1130,100,211,120,0.106,108,0,0.6332,0.4,0.0826,0.1909,0.0928,0.037,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.314,0.0168,0.1653,0.2011,0.0745,0.1164
1,123,43,1130,100,211,120,0.106,108,0,0.6332,0.4,0.0826,0.1909,0.0928,0.037,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.314,0.0168,0.1653,0.2011,0.0745,0.1164
1,123,44,1130,100,250,155,0.137,129,0,0.6388,0.4157,0.1028,0.2039,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3597,0.0292,0.1871,0.2011,0.0745,0.1164
1,123,45,1130,100,250,155,0.137,129,0,0.6388,0.4157,0.1028,0.2039,0.134,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.3597,0.0292,0.1871,0.2011,0.0745,0.1164
