text_idx,seed,lambda,bert_f1,rouge1,rouge2,rougeL,kw_content_match
21,2024,0.6,0.6899,0.3587,0.1758,0.2717,0.3
21,2024,0.7,0.6899,0.3587,0.1758,0.2717,0.3
21,2024,0.8,0.6899,0.3587,0.1758,0.2717,0.3
21,2024,0.9,0.6899,0.3587,0.1758,0.2717,0.3
22,2024,0.5,0.6507,0.2778,0.1028,0.1944,0.2857
22,2024,0.6,0.6507,0.2778,0.1028,0.1944,0.2857
22,2024,0.7,0.6314,0.2308,0.068,0.1538,0.2143
22,2024,0.8,0.6314,0.2308,0.068,0.1538,0.2143
22,2024,0.9,0.6314,0.2308,0.068,0.1538,0.2143
23,2024,0.5,0.679,0.2167,0.1308,0.1115,0.6429
23,2024,0.6,0.6971,0.2268,0.1107,0.1237,0.5
23,2024,0.7,0.6664,0.1908,0.0769,0.1145,0.2857
23,2024,0.8,0.6752,0.1977,0.0766,0.1293,0.2857
23,2024,0.9,0.6752,0.1977,0.0766,0.1293,0.2857
24,2024,0.5,0.7406,0.3937,0.2236,0.2222,0.5
24,2024,0.6,0.7406,0.3937,0.2236,0.2222,0.5
24,2024,0.7,0.7406,0.3937,0.2236,0.2222,0.5
24,2024,0.8,0.7134,0.3846,0.2,0.1731,0.5
24,2024,0.9,0.7134,0.3846,0.2,0.1731,0.5
25,2024,0.5,0.6623,0.3443,0.1322,0.1639,0.1481
25,2024,0.6,0.6623,0.3443,0.1322,0.1639,0.1481
25,2024,0.7,0.6623,0.3443,0.1322,0.1639,0.1481
25,2024,0.8,0.6738,0.4199,0.1935,0.2776,0.2593
25,2024,0.9,0.6738,0.4199,0.1935,0.2776,0.2593
26,2024,0.5,0.6598,0.4214,0.1329,0.2138,0.2286
26,2024,0.6,0.6598,0.4214,0.1329,0.2138,0.2286
26,2024,0.7,0.6762,0.4706,0.1834,0.2176,0.2286
26,2024,0.8,0.6607,0.422,0.1477,0.2202,0.2571
26,2024,0.9,0.6759,0.4832,0.1785,0.263,0.2286
27,2024,0.5,0.6487,0.1645,0.0795,0.1316,0.3636
27,2024,0.6,0.6487,0.1645,0.0795,0.1316,0.3636
27,2024,0.7,0.6487,0.1645,0.0795,0.1316,0.3636
27,2024,0.8,0.6487,0.1645,0.0795,0.1316,0.3636
27,2024,0.9,0.6866,0.2021,0.0982,0.1254,0.4545
28,2024,0.5,0.678,0.3235,0.0896,0.2206,0.2105
28,2024,0.6,0.66,0.3359,0.093,0.229,0.2105
28,2024,0.7,0.66,0.3359,0.093,0.229,0.2105
28,2024,0.8,0.66,0.3359,0.093,0.229,0.2105
28,2024,0.9,0.66,0.3359,0.093,0.229,0.2105
29,2024,0.5,0.63,0.2542,0.0808,0.1405,0.25
29,2024,0.6,0.63,0.2542,0.0808,0.1405,0.25
29,2024,0.7,0.63,0.2542,0.0808,0.1405,0.25
29,2024,0.8,0.63,0.2542,0.0808,0.1405,0.25
29,2024,0.9,0.63,0.2542,0.0808,0.1405,0.25
30,2024,0.5,0.6677,0.3374,0.0747,0.1646,0.1724
30,2024,0.6,0.6677,0.3374,0.0747,0.1646,0.1724
30,2024,0.7,0.6677,0.3374,0.0747,0.1646,0.1724
30,2024,0.8,0.6677,0.3374,0.0747,0.1646,0.1724
30,2024,0.9,0.6677,0.3374,0.0747,0.1646,0.1724
